school_year,district,lane,step,salary,source_url
2025-2026,Toledo Public Schools,BA,1,44000,https://example.com/source.pdf
2025-2026,Toledo Public Schools,BA,5,49500,https://example.com/source.pdf
2025-2026,Toledo Public Schools,BA,10,55000,https://example.com/source.pdf
2025-2026,Toledo Public Schools,MA,1,47000,https://example.com/source.pdf
2025-2026,Toledo Public Schools,MA,5,53000,https://example.com/source.pdf
2025-2026,Toledo Public Schools,MA,10,59500,https://example.com/source.pdf
2025-2026,Sylvania Schools,BA,1,45500,https://example.com/source.pdf
2025-2026,Sylvania Schools,BA,5,51000,https://example.com/source.pdf
2025-2026,Sylvania Schools,BA,10,57000,https://example.com/source.pdf
2025-2026,Sylvania Schools,MA,1,48500,https://example.com/source.pdf
2025-2026,Sylvania Schools,MA,5,54500,https://example.com/source.pdf
2025-2026,Sylvania Schools,MA,10,61000,https://example.com/source.pdf
2010-2011,Toledo Public Schools,BA,1,34000,https://example.com/source.pdf
2010-2011,Toledo Public Schools,BA,5,38000,https://example.com/source.pdf
2010-2011,Toledo Public Schools,BA,10,42500,https://example.com/source.pdf
2010-2011,Toledo Public Schools,MA,1,36500,https://example.com/source.pdf
2010-2011,Toledo Public Schools,MA,5,41000,https://example.com/source.pdf
2010-2011,Toledo Public Schools,MA,10,46000,https://example.com/source.pdf
